epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,11496.5,0.19205,0.27511,0.79081,0.99449,0.97503,0.9888,0.98675,0.11043,0.15919,0.76787,0.007327,0.007327,0.007327
56,11575.5,0.18929,0.27166,0.79094,0.99463,0.97502,0.98912,0.98684,0.11291,0.1575,0.76892,0.0072775,0.0072775,0.0072775
57,11664.6,0.19066,0.26833,0.79139,0.99568,0.97544,0.98911,0.9871,0.10991,0.15514,0.768,0.007228,0.007228,0.007228
58,11743.2,0.18817,0.26793,0.79148,0.99481,0.97578,0.989,0.98704,0.11096,0.15743,0.76732,0.0071785,0.0071785,0.0071785
59,11828.2,0.18671,0.26512,0.79124,0.99507,0.97502,0.98884,0.98679,0.11248,0.15641,0.76808,0.007129,0.007129,0.007129
60,11907.7,0.18685,0.26542,0.79086,0.99439,0.97546,0.98928,0.98724,0.11111,0.15534,0.76787,0.0070795,0.0070795,0.0070795
61,11997.3,0.18432,0.26043,0.7897,0.99449,0.97527,0.9892,0.98746,0.10913,0.15345,0.76773,0.00703,0.00703,0.00703
62,12079.6,0.18454,0.25814,0.7892,0.99507,0.97544,0.98925,0.98689,0.11308,0.15236,0.76844,0.0069805,0.0069805,0.0069805
63,12174.2,0.1828,0.25899,0.79017,0.99529,0.97668,0.98978,0.98794,0.10857,0.14854,0.76682,0.006931,0.006931,0.006931
64,12254.2,0.1835,0.25726,0.78959,0.9951,0.97628,0.98939,0.98779,0.10521,0.14666,0.76641,0.0068815,0.0068815,0.0068815
65,12338.5,0.18038,0.25466,0.78903,0.99396,0.97576,0.98964,0.9879,0.10708,0.14839,0.76663,0.006832,0.006832,0.006832
66,12418.6,0.18002,0.25507,0.79048,0.99473,0.97661,0.9892,0.98716,0.10714,0.14864,0.76675,0.0067825,0.0067825,0.0067825
67,12507.8,0.17849,0.25035,0.7889,0.99527,0.9753,0.98935,0.98757,0.10816,0.14899,0.76687,0.006733,0.006733,0.006733
68,12596.3,0.17848,0.24994,0.78978,0.99531,0.97719,0.98971,0.98783,0.1051,0.14475,0.76623,0.0066835,0.0066835,0.0066835
69,12682.8,0.17917,0.24772,0.78775,0.99484,0.976,0.98915,0.98741,0.1048,0.14667,0.76636,0.006634,0.006634,0.006634
70,12763.4,0.17776,0.24649,0.78788,0.99603,0.97843,0.98947,0.98805,0.10398,0.1436,0.76615,0.0065845,0.0065845,0.0065845
71,12854.5,0.17677,0.24716,0.78761,0.99485,0.97649,0.98942,0.98787,0.10437,0.14505,0.76618,0.006535,0.006535,0.006535
72,12933.9,0.17524,0.24418,0.7874,0.99562,0.97645,0.98944,0.98791,0.10219,0.1427,0.76573,0.0064855,0.0064855,0.0064855
73,13017.7,0.17522,0.24205,0.78748,0.99598,0.97661,0.98987,0.98815,0.10283,0.14151,0.76577,0.006436,0.006436,0.006436
74,13096.2,0.17316,0.23566,0.7868,0.99572,0.9775,0.98993,0.98866,0.10235,0.14008,0.76543,0.0063865,0.0063865,0.0063865
75,13179.2,0.17301,0.24002,0.78775,0.99602,0.97738,0.99014,0.98878,0.10161,0.13811,0.7655,0.006337,0.006337,0.006337
76,13258.6,0.17115,0.23722,0.78733,0.99574,0.97832,0.98995,0.98859,0.10037,0.13925,0.76516,0.0062875,0.0062875,0.0062875
77,13341.6,0.16948,0.2378,0.78753,0.99607,0.97715,0.98976,0.98839,0.10029,0.13805,0.76567,0.006238,0.006238,0.006238
78,13422.3,0.1702,0.23349,0.786,0.99543,0.97757,0.98964,0.98831,0.09988,0.13782,0.76535,0.0061885,0.0061885,0.0061885
79,13505.6,0.16904,0.23377,0.78674,0.99459,0.97878,0.9896,0.98821,0.09963,0.13976,0.76487,0.006139,0.006139,0.006139
80,13587.7,0.16735,0.23109,0.7872,0.99582,0.97606,0.98996,0.98846,0.09977,0.13746,0.76511,0.0060895,0.0060895,0.0060895
81,13672.2,0.16793,0.2325,0.7866,0.99608,0.97788,0.9902,0.98887,0.09872,0.13587,0.76472,0.00604,0.00604,0.00604
82,13748.7,0.16719,0.23084,0.7866,0.99503,0.97777,0.98983,0.98829,0.099,0.13546,0.76468,0.0059905,0.0059905,0.0059905
83,13838.3,0.16599,0.22962,0.7857,0.99557,0.97855,0.98995,0.98841,0.09905,0.13774,0.76512,0.005941,0.005941,0.005941
84,13921.9,0.16375,0.22829,0.78599,0.99518,0.9791,0.99032,0.98915,0.09734,0.13392,0.76434,0.0058915,0.0058915,0.0058915
85,14022.8,0.16389,0.22586,0.78491,0.99586,0.97787,0.9901,0.98892,0.09684,0.13489,0.76405,0.005842,0.005842,0.005842
86,14109.3,0.16166,0.22394,0.78591,0.99608,0.97858,0.99046,0.98925,0.09537,0.13104,0.76404,0.0057925,0.0057925,0.0057925
87,14212,0.16212,0.22331,0.78608,0.99373,0.97984,0.99008,0.98895,0.09446,0.13213,0.76383,0.005743,0.005743,0.005743
88,14299.7,0.16018,0.22265,0.78507,0.99537,0.97834,0.99044,0.98929,0.09475,0.13107,0.76371,0.0056935,0.0056935,0.0056935
89,14386.5,0.16072,0.22086,0.78648,0.99605,0.97801,0.99026,0.98911,0.09476,0.13122,0.76372,0.005644,0.005644,0.005644
90,14473.9,0.15875,0.22115,0.78495,0.99522,0.9784,0.98999,0.9888,0.09555,0.13329,0.76403,0.0055945,0.0055945,0.0055945
91,14576.8,0.15849,0.21954,0.78451,0.99552,0.97751,0.9901,0.98895,0.09385,0.131,0.76383,0.005545,0.005545,0.005545
92,14658.2,0.15751,0.21679,0.78467,0.99582,0.97836,0.9901,0.98894,0.09333,0.13134,0.76343,0.0054955,0.0054955,0.0054955
93,14739.6,0.15616,0.21762,0.78528,0.99597,0.97766,0.99012,0.98912,0.09202,0.12932,0.76326,0.005446,0.005446,0.005446
94,14824.4,0.15573,0.21553,0.78421,0.99554,0.9785,0.99012,0.98901,0.09241,0.13076,0.76325,0.0053965,0.0053965,0.0053965
95,14907.5,0.15394,0.21139,0.78433,0.99574,0.97819,0.99001,0.98907,0.09122,0.12765,0.76323,0.005347,0.005347,0.005347
96,14989.3,0.15599,0.21523,0.78447,0.99615,0.97837,0.99019,0.98921,0.09117,0.12756,0.76307,0.0052975,0.0052975,0.0052975
97,15079.1,0.15537,0.21365,0.78445,0.99634,0.9784,0.99012,0.98915,0.09147,0.12755,0.76315,0.005248,0.005248,0.005248
98,15157.7,0.15401,0.21152,0.78388,0.99583,0.97861,0.99016,0.98908,0.09134,0.12704,0.76302,0.0051985,0.0051985,0.0051985
99,15253.6,0.15216,0.21031,0.78315,0.99524,0.97934,0.99057,0.98956,0.09,0.1248,0.76275,0.005149,0.005149,0.005149
100,15341.6,0.15389,0.21035,0.78362,0.99582,0.97999,0.99059,0.98944,0.09047,0.1246,0.76275,0.0050995,0.0050995,0.0050995
101,15425.6,0.15163,0.20922,0.78296,0.99644,0.97883,0.99049,0.98934,0.09023,0.12463,0.76283,0.00505,0.00505,0.00505
102,15511,0.15114,0.20918,0.78349,0.99586,0.97926,0.99035,0.98925,0.08943,0.12467,0.76279,0.0050005,0.0050005,0.0050005
103,15594.3,0.15048,0.2051,0.78236,0.99618,0.97936,0.99045,0.98943,0.08905,0.12399,0.76272,0.004951,0.004951,0.004951
104,15674.6,0.15075,0.20338,0.78213,0.99633,0.97834,0.99024,0.98924,0.08871,0.12392,0.76227,0.0049015,0.0049015,0.0049015
105,15767.5,0.15051,0.20647,0.78177,0.9959,0.97871,0.99033,0.98938,0.08825,0.12486,0.76204,0.004852,0.004852,0.004852
106,15842.7,0.14791,0.20403,0.78316,0.99579,0.97849,0.99023,0.98924,0.08868,0.12363,0.7623,0.0048025,0.0048025,0.0048025
107,15931.1,0.14878,0.20277,0.78283,0.99676,0.97835,0.99037,0.98944,0.08853,0.12246,0.76246,0.004753,0.004753,0.004753
108,16011.2,0.14831,0.20015,0.7826,0.99642,0.9791,0.99028,0.98937,0.08782,0.12303,0.76211,0.0047035,0.0047035,0.0047035
109,16101.5,0.14775,0.20085,0.78104,0.99636,0.97925,0.99036,0.98957,0.08696,0.12079,0.7622,0.004654,0.004654,0.004654
110,16184.3,0.14568,0.19932,0.78216,0.99582,0.97935,0.99035,0.98949,0.0871,0.1205,0.76211,0.0046045,0.0046045,0.0046045
111,16266.5,0.14606,0.19741,0.78242,0.99673,0.97904,0.99053,0.9897,0.08703,0.1202,0.76201,0.004555,0.004555,0.004555
112,16345.9,0.14402,0.19891,0.78115,0.99659,0.97853,0.99049,0.98968,0.08617,0.11931,0.76168,0.0045055,0.0045055,0.0045055
113,16428.1,0.14446,0.19876,0.78258,0.99647,0.97853,0.9903,0.98953,0.08567,0.12061,0.76164,0.004456,0.004456,0.004456
114,16508.1,0.1444,0.19432,0.78079,0.99639,0.97876,0.99041,0.98954,0.08515,0.11804,0.76154,0.0044065,0.0044065,0.0044065
115,16598.6,0.14346,0.19412,0.78134,0.99573,0.97955,0.9903,0.98939,0.08591,0.11946,0.7618,0.004357,0.004357,0.004357
116,16682.2,0.14312,0.19254,0.78067,0.99635,0.97899,0.99025,0.98943,0.08504,0.11964,0.76142,0.0043075,0.0043075,0.0043075
117,16766,0.14254,0.19307,0.78204,0.99613,0.97984,0.99039,0.98961,0.08504,0.11839,0.76145,0.004258,0.004258,0.004258
118,16883.6,0.14138,0.19287,0.78179,0.99583,0.98007,0.99043,0.98959,0.08501,0.1183,0.76121,0.0042085,0.0042085,0.0042085
119,17167.1,0.14222,0.19329,0.78145,0.99595,0.98053,0.99049,0.98971,0.08447,0.11754,0.76122,0.004159,0.004159,0.004159
120,17333.7,0.14181,0.19157,0.78064,0.9963,0.98005,0.99045,0.98969,0.0841,0.11747,0.76119,0.0041095,0.0041095,0.0041095
121,17529.6,0.14164,0.19137,0.7804,0.99649,0.98019,0.9906,0.9898,0.08379,0.11565,0.76104,0.00406,0.00406,0.00406
122,17771.8,0.13997,0.18863,0.78098,0.99645,0.97957,0.9905,0.98984,0.0836,0.11645,0.76098,0.0040105,0.0040105,0.0040105
123,18031.5,0.13874,0.18911,0.78205,0.99679,0.97992,0.99056,0.98983,0.08342,0.11629,0.76093,0.003961,0.003961,0.003961
